"Year","N_postharvest","N_midseason","N_preharvest","Model_harvest_adM","Model_harvest_adF","Model_harvest_y1M","Model_harvest_y1F","Model_harvest_yM","Model_harvest_yF","Model_harvest_fawnM","Model_harvest_fawnF","County","L_Year"
1,54547,79300,65939,"2458","2259","627","458","456","713","535","401","Jackson",2025
2,58032,77617,65027,"1815","2076","465","367","874","1030","486","364","Jackson",2025
3,57550,78101,65310,"1343","1836","891","530","793","935","494","371","Jackson",2025
4,58117,78230,65445,"1586","1900","808","481","807","952","490","367","Jackson",2025
5,58054,78100,65331,"1609","1875","823","490","800","943","488","366","Jackson",2025
6,57937,77867,65136,"1636","1871","816","485","797","940","486","365","Jackson",2025
7,57740,77579,64896,"1640","1862","813","484","794","936","484","363","Jackson",2025
8,57520,77269,64637,"1639","1854","809","482","791","932","482","362","Jackson",2025
9,57286,76952,64370,"1634","1846","806","480","787","928","480","360","Jackson",2025
10,57049,76630,64102,"1629","1839","803","478","784","924","478","359","Jackson",2025
11,56808,76302,63826,"1622","1831","799","476","780","920","476","357","Jackson",2025
12,56565,75979,63558,"1616","1823","796","474","777","916","474","355","Jackson",2025
13,56327,75656,63288,"1609","1815","792","472","774","912","472","354","Jackson",2025
14,56088,75335,63018,"1603","1808","789","470","771","908","470","352","Jackson",2025
15,55847,75014,62752,"na","na","na","na","na","na","na","na","Jackson",2025
1,43046,61146,51858,"1010","2314","202","460","156","782","609","406","Autauga",2025
2,45919,60227,51337,"877","2054","147","394","295","1112","549","366","Autauga",2025
3,45543,60582,51561,"724","1803","276","561","266","1003","560","373","Autauga",2025
4,45995,60746,51713,"801","1886","249","506","271","1024","556","371","Autauga",2025
5,46049,60743,51705,"813","1859","254","516","269","1016","555","370","Autauga",2025
6,46053,60670,51642,"826","1857","252","512","269","1014","553","368","Autauga",2025
7,45991,60548,51536,"832","1850","252","511","268","1010","551","367","Autauga",2025
8,45895,60396,51407,"835","1844","251","509","267","1007","549","366","Autauga",2025
9,45779,60227,51265,"835","1838","250","508","266","1004","547","365","Autauga",2025
10,45652,60052,51114,"835","1832","249","506","265","1000","546","364","Autauga",2025
11,45517,59869,50959,"833","1826","249","504","264","997","544","363","Autauga",2025
12,45379,59684,50802,"831","1821","248","503","263","994","542","361","Autauga",2025
13,45239,59496,50641,"829","1815","247","501","263","991","540","360","Autauga",2025
14,45095,59308,50481,"826","1809","246","500","262","988","539","359","Autauga",2025
15,44952,59117,50318,"na","na","na","na","na","na","na","na","Autauga",2025
